Company,Address Line 1,City,State,ZipCode,Employee Size (5) - Location,Sales Volume (9) - Location,Latitude,Longitude,Sector Code
PUBLIX EMPLOYEES FEDERAL CU,9846 GLADES RD,BOCA RATON,FL,33434,5,1365,26.36493,-80.20095,20
EVERGLADES FEDERAL CU,1099 W VENTURA AVE,CLEWISTON,FL,33440,15,4095,26.752675,-80.950757,20
J M ASSOC FEDERAL CREDIT UNION,111 JIM MORAN BLVD,DEERFIELD BEACH,FL,33442,4,1092,26.319197,-80.120731,20
GOLD COAST FCU,400 W ATLANTIC AVE # B,DELRAY BEACH,FL,33444,5,1365,26.46141,-80.07741,20
IBM SOUTHEAST EMPLOYEES FED,1000 NW 17TH AVE,DELRAY BEACH,FL,33445,5,1365,26.475775,-80.090185,20
FINANCIAL FEDERAL CREDIT UNION,2100 S CONGRESS AVE,DELRAY BEACH,FL,33445,5,1365,26.433368,-80.094306,20
FIRST MUTUAL PLANNING CORP,7370 S ORIOLE BLVD # 601C,DELRAY BEACH,FL,33446,1,3510,26.45684,-80.16046,23
CLAY STUDIO CO-OP GALLERY,605 LAKE AVE,LAKE WORTH,FL,33460,2,462,26.61556,-80.05469,12
PBC CREDIT UNION,,LAKE WORTH,FL,33462,5,1365,26.5803,-80.0709,20
FARM CREDIT SOUTH FLORIDA ACA,PO BOX 5559,LAKE WORTH,FL,33466,2,1530,26.618228,-80.107643,21
TROPICAL FINANCIAL CU,12031 SOUTHERN BLVD,LOXAHATCHEE,FL,33470,5,1365,26.683483,-80.24839,20
GLADES ELECTRIC CO-OP,26733 US HIGHWAY 27,MOORE HAVEN,FL,33471,75,20000,26.853057,-81.122833,40
TROPICAL FINANCIAL CU,17400 N HIGHWAY A1A ALT,JUPITER,FL,33477,5,1365,26.928675,-80.090144,20
IBM CREDIT UNION,790 PARK OF COMMERCE BLVD,BOCA RATON,FL,33487,200,54600,26.397404,-80.101398,20
IBM SOUTHEAST EMPLOYEES FCU,790 PARK OF COMMERCE BLVD,BOCA RATON,FL,33487,216,58968,26.397404,-80.101398,20
NORTHWESTERN MUTUAL FINANCIAL,902 CLINT MOORE RD # 228,BOCA RATON,FL,33487,50,9300,26.407415,-80.103984,23
NORTHWESTERN MUTUAL LIFE INS,902 CLINT MOORE RD # 200,BOCA RATON,FL,33487,3,558,26.407415,-80.103984,22
NORTHWESTERN MUTUAL FINANCIAL,7004 QUEENFERRY CIR,BOCA RATON,FL,33496,4,744,26.421394,-80.152141,23
TROPICAL FINANCIAL CU,20409 STATE ROAD 7,BOCA RATON,FL,33498,5,1365,26.370502,-80.205676,20
RAILROAD INDUSTRIAL CREDIT,1209 KINGSWAY RD,BRANDON,FL,33510,5,1365,27.95773,-82.27726,20
CREDIT UNION INSURANCE SVC,101 E BLOOMINGDALE AVE,BRANDON,FL,33511,2,372,27.89322,-82.28537,20
GROW FINANCIAL FEDERAL CU,1009 PROVIDENCE RD,BRANDON,FL,33511,18,4914,27.92254,-82.31779,20
FLORIDA WEST COAST CU,1225 MILLENNIUM PKWY,BRANDON,FL,33511,25,6825,27.92894,-82.30162,20
UNITED MUTUAL FUNDING CORP,510 VONDERBURG DR # 305,BRANDON,FL,33511,8,2120,27.93038,-82.28924,23
TAMPA POSTAL DISTRICT FED CU,959 E BRANDON BLVD,BRANDON,FL,33511,3,819,27.937115,-82.269797,20
FLORIDA CENTRAL CREDIT UNION,727 W LUMSDEN RD # B,BRANDON,FL,33511,4,1092,27.922097,-82.295839,20
DAVES CHRISTMAS TREE LOT,106 E LUMSDEN RD,BRANDON,FL,33511,3,763,27.923811,-82.284851,10
SUNCOAST CREDIT UNION,1370 OAKFIELD DR,BRANDON,FL,33511,22,6006,27.93472,-82.30562,20
USF FEDERAL CREDIT UNION,710 OAKFIELD DR # 175,BRANDON,FL,33511,5,1365,27.93488,-82.29522,20
GROW FINANCIAL FEDERAL CU,604 E BLOOMINGDALE AVE,BRANDON,FL,33511,15,4095,27.89439,-82.27542,20
MID FLORIDA CREDIT UNION,710 OAKFIELD DR # 175,BRANDON,FL,33511,10,2730,27.93488,-82.29522,20
C U MORTGAGE SVC,350 E ROBERTSON ST # 201,BRANDON,FL,33511,6,1638,27.936219,-82.281147,20
TAMPA BAY FEDERAL CREDIT UNION,710 OAKFIELD DR,BRANDON,FL,33511,5,1365,27.93488,-82.29522,20
SUMTER ELECTRIC CO-OP,US HWY 301,DADE CITY,FL,33525,7,7133,28.343394,-82.22061,40
SUNCOAST SCHOOL FCU,13026 US HIGHWAY 301,DADE CITY,FL,33525,5,1365,28.347791,-82.186854,20
SUNCOAST CREDIT UNION,12510 US HIGHWAY 301,DADE CITY,FL,33525,5,1365,28.339845,-82.186983,20
SAN ANTONIO CITIZENS FCU,37925 CHURCH AVE,DADE CITY,FL,33525,13,3549,28.363253,-82.188502,20
SAN ANTONIO CITIZENS FED CU,7301 GALL BLVD,ZEPHYRHILLS,FL,33541,6,1638,28.263555,-82.188647,20
SUNCOAST CREDIT UNION,32745 EILAND BLVD,WESLEY CHAPEL,FL,33545,5,1365,28.221161,-82.247019,20
MIDFLORIDA CREDIT UNION,19203 N DALE MABRY HWY,LUTZ,FL,33548,8,2184,28.156269,-82.482554,20
SUNCOAST CREDIT UNION,1837 COLLIER PKWY,LUTZ,FL,33549,6,1638,28.184215,-82.438613,20
TAMPA POSTAL DISTRICT,15916 N FLORIDA AVE,LUTZ,FL,33549,20,5460,28.09574,-82.46172,20
TAMPA POSTAL DISTRICT FED CU,15916 N FLORIDA AVE,LUTZ,FL,33549,24,6552,28.09574,-82.46172,20
GTE FEDERAL CREDIT UNION,21827 STATE ROAD 54,LUTZ,FL,33549,6,1638,28.188678,-82.455699,20
VIRTUAL ONE,1503 S ALEXANDER ST # 104,PLANT CITY,FL,33563,3,819,28.00158,-82.13868,20
RAILROAD INDL CREDIT,1701 W BAKER ST,PLANT CITY,FL,33563,6,1638,28.01797,-82.14029,20
FARM CREDIT SVC,2301 THONOTOSASSA RD,PLANT CITY,FL,33563,8,1605,28.02293,-82.1469,21
POWERNET CREDIT UNION,103 N ALEXANDER ST,PLANT CITY,FL,33563,1,273,28.01373,-82.13847,20
FARM CREDIT CENTRAL FLA ACA,2301 THONOTOSASSA RD,PLANT CITY,FL,33563,3,2295,28.02293,-82.1469,21
MIDFLORIDA CREDIT UNION,2903 JAMES L REDMAN PKWY,PLANT CITY,FL,33566,6,1638,27.98319,-82.12215,20
TAMPA BAY FEDERAL CREDIT UNION,10845 BOYETTE RD,RIVERVIEW,FL,33569,6,1638,27.8563,-82.32165,20
SUN COAST FEDERAL CREDIT UNION,551 24TH ST NE,RUSKIN,FL,33570,5,1365,27.72222,-82.39861,20
SAN ANTONIO CITIZENS FED CU,12542 CURLEY ST,SAN ANTONIO,FL,33576,13,3549,28.340459,-82.273856,20
SUNCOAST SCHOOL FEDERAL CU,13141 US HIGHWAY 301 S,RIVERVIEW,FL,33578,6,1638,27.794057,-82.335854,20
SUNCOAST CREDIT UNION,10405 GIBSONTON DR,RIVERVIEW,FL,33578,6,1638,27.85647,-82.33297,20
ST JOSEPHS HOSPITAL FED CU,6901 SIMMONS LOOP,RIVERVIEW,FL,33578,6,1638,27.78868,-82.34623,20
SUMTER ELECTRIC CO-OP,330 S US 301,SUMTERVILLE,FL,33585,259,89100,28.751441,-82.062539,40
UNITED MUTUAL FUNDING CORP,1903 E STATE ROAD 60,VALRICO,FL,33594,3,2295,27.937756,-82.25558,23
SUNCOAST CREDIT UNION,3234 S MILLER RD,VALRICO,FL,33596,10,2730,27.89608,-82.24497,20
RAILROAD INDL FEDERAL CU,4373 LYNX PAW TRL,VALRICO,FL,33596,3,819,27.876844,-82.222455,20
G T E FEDERAL CU A T M,,TAMPA,FL,33602,6,1638,27.9528,-82.4565,20
GTE FEDERAL CREDIT UNION,300 E MADISON ST,TAMPA,FL,33602,6,1638,27.94869,-82.45807,20
AMICA MUTUAL INSURANCE CO,201 N FRANKLIN ST # 650,TAMPA,FL,33602,800,148800,27.9467,-82.45701,22
FLORIDA WEST COAST CU,601 E KENNEDY BLVD,TAMPA,FL,33602,4,1092,27.948199,-82.454892,20
GTE FEDERAL CREDIT UNION,711 E HENDERSON AVE,TAMPA,FL,33602,1000,2084916,27.95871,-82.45331,20
NORTHWESTERN MUTUAL FINANCIAL,201 N FRANKLIN ST # 1724,TAMPA,FL,33602,5,930,27.9467,-82.45701,23
TAMPA BAY FEDERAL CREDIT UNION,402 E MADISON ST,TAMPA,FL,33602,4,1092,27.94882,-82.457438,20
BAY GULF FEDERAL CREDIT UNION,501 E POLK ST,TAMPA,FL,33602,6,1638,27.95101,-82.45698,20
TAMPA BAY FEDERAL CREDIT,3815 N NEBRASKA AVE,TAMPA,FL,33603,64,17472,27.98015,-82.44976,20
MEMBERS MUTUAL OF FLORIDA,3815 N NEBRASKA AVE,TAMPA,FL,33603,3,558,27.98015,-82.44976,22
BAY GULF CREDIT UNION,8434 N HIGHLAND AVE,TAMPA,FL,33604,5,1365,28.0268,-82.46273,20
FLORIDA WEST COAST CU,3020 MELBURNE BLVD,TAMPA,FL,33605,10,2730,27.971333,-82.40452,20
FLORIDA CUSTOMS FEDERAL CU,1624 E 7TH AVE # 102,TAMPA,FL,33605,2,546,27.96048,-82.44086,20
GROW FINANCIAL FEDERAL CU,315 S BOULEVARD,TAMPA,FL,33606,12,3276,27.94087,-82.46888,20
SUNCOAST CREDIT UNION,3300 N ARMENIA AVE # 101,TAMPA,FL,33607,6,1638,27.96926,-82.48514,20
NORTHWESTERN MUTUAL FINANCIAL,1511 N WEST SHORE BLVD # 500,TAMPA,FL,33607,55,10230,27.95595,-82.52305,23
ENERGY INSURANCE MUTUAL LTD,3000 BAYPORT DR # 550,TAMPA,FL,33607,19,3534,27.96629,-82.55052,22
ST JOSEPHS HOSPITAL FED CU,3001 W DR MLK BLVD,TAMPA,FL,33607,8,2184,27.98284,-82.49132,20
CARD SERVICES FOR CREDIT UNNS,3031 N ROCKY POINT DR W # 750,TAMPA,FL,33607,30,,27.96963,-82.56844,20
CLEARVIEW CREDIT,5010 W CARMEN ST,TAMPA,FL,33609,6,1638,27.94919,-82.52898,20
MAINE EMPLOYERS MUTUAL INS,5401 W KENNEDY BLVD # 610,TAMPA,FL,33609,3,558,27.945772,-82.534849,22
SEARS WEST COAST CREDIT UNION,347 WESTSHORE PLZ,TAMPA,FL,33609,2,546,27.945386,-82.52754,20
GTE FEDERAL CREDIT UNION,711 S DALE MABRY HWY,TAMPA,FL,33609,6,1638,27.93692,-82.50674,20
PENN MUTUAL LIFE INSURANCE CO,600 N WEST SHORE BLVD # 200,TAMPA,FL,33609,3,558,27.950817,-82.525229,22
MASS MUTUAL FINANCIAL GROUP,4830 W KENNEDY BLVD # 800,TAMPA,FL,33609,65,12090,27.944674,-82.526124,23
SWC CREDIT UNION,347 WESTSHORE PLZ,TAMPA,FL,33609,2,546,27.945386,-82.52754,20
FLORIDA CENTRAL CREDIT UNION,3333 HENDERSON BLVD,TAMPA,FL,33609,50,109258,27.94073,-82.49928,20
AMERISURE MUTUAL INSURANCE CO,5426 BAY CENTER DR # 200,TAMPA,FL,33609,3,558,27.9437,-82.53774,22
SUNCOAST CREDIT UNION,1920 E HILLSBOROUGH AVE,TAMPA,FL,33610,4,744,27.99655,-82.43803,20
SUNCOAST CREDIT UNION,6809 E HILLSBOROUGH AVE,TAMPA,FL,33610,35,9555,27.995656,-82.376871,20
SUNCOAST CREDIT UNION,6804 E HILLSBOROUGH AVE,TAMPA,FL,33610,6,1638,27.99718,-82.37614,20
MIDFLORIDA CREDIT UN AMPHTHR,4802 N US HIGHWAY 301,TAMPA,FL,33610,17,2097,27.993244,-82.36499,20
SUNCOAST CREDIT UNION,6801 E HILLSBOROUGH AVE,TAMPA,FL,33610,350,,27.99555,-82.37775,20
POWERNET CREDIT UNION,5619 HARNEY RD,TAMPA,FL,33610,18,4914,27.98723,-82.39337,20
MAVY FEDERAL CREDIT UNION,4530 S DALE MABRY HWY,TAMPA,FL,33611,5,1365,27.90062,-82.5058,20
NAVY FEDERAL CREDIT UNION,4530 S DALE MABRY HWY,TAMPA,FL,33611,11,3003,27.90062,-82.5058,20
GROW FINANCIAL FEDERAL CU,4502 W GANDY BLVD,TAMPA,FL,33611,14,3822,27.8928,-82.52116,20
GROVE FINANCIAL FEDERAL CU,6701 S DALE MABRY HWY,TAMPA,FL,33611,10,2730,27.86858,-82.50759,20
USF FEDERAL CREDIT UNION,13302 USF PALM DR,TAMPA,FL,33612,110,30030,28.066484,-82.413827,20
GTE FEDERAL CREDIT UNION,11207 N NEBRASKA AVE,TAMPA,FL,33612,10,2730,28.05061,-82.45064,20
GTE FEDERAL CREDIT UNION,9389 N FLORIDA AVE,TAMPA,FL,33612,10,2730,28.034432,-82.459035,20
FIRST 7TH DIST DOT EMPL CU,11201 N MCKINLEY DR,TAMPA,FL,33612,1,273,28.05054,-82.41461,20
MID FLORIDA CREDIT UNION,13000 BRUCE B DOWNS BLVD # GD0,TAMPA,FL,33612,6,1638,28.06386,-82.42894,20
BAY GULF CREDIT UNION,13000 BRUCE B DOWNS BLVD,TAMPA,FL,33612,6,1638,28.06386,-82.42894,20
ANHEUSER-BUSCH EMPLOYEES CU,3209 E BUSCH BLVD,TAMPA,FL,33612,14,3822,28.03229,-82.42407,20
TAMPA BAY FEDERAL CREDIT,14990 N FLORIDA AVE,TAMPA,FL,33613,6,1638,28.087577,-82.461286,20
TAMPA POSTAL DISTRICT FED CU,13902 N FLORIDA AVE,TAMPA,FL,33613,6,1638,28.07313,-82.45995,20
NORTHWESTERN MUTUAL FINANCIAL,15380 N FLORIDA AVE # 102,TAMPA,FL,33613,20,3720,28.0912,-82.46047,23
BAY GULF CREDIT UNION,3202 W WATERS AVE,TAMPA,FL,33614,37,55500,28.024526,-82.494276,20
SUNCOAST CREDIT UNION,8201 W WATERS AVE,TAMPA,FL,33615,17,4641,28.02643,-82.57194,20
GTE FEDERAL CREDIT UNION,7553 W WATERS AVE,TAMPA,FL,33615,9,2457,28.02623,-82.56418,20
GROW FINANCIAL FEDERAL CU,7520 W WATERS AVE,TAMPA,FL,33615,14,3822,28.02538,-82.563771,20
TAMPA BAY FEDERAL CR UNION,7250 SHELDON RD,TAMPA,FL,33615,5,1365,28.01643,-82.58366,20
TAMPA BAY FEDERAL CREDIT,7250 SHELDON RD,TAMPA,FL,33615,5,1365,28.01643,-82.58366,20
GROW FINANCIAL FEDERAL CREDIT,8314 SHELDON RD,TAMPA,FL,33615,10,2730,28.02477,-82.58378,20
RAILROAD INDL CREDIT UNION,12125 N 56TH ST,TEMPLE TERRACE,FL,33617,5,1365,28.057896,-82.392932,20
RAILROAD INDL FEDERAL CU,12125 N 56TH ST,TEMPLE TERRACE,FL,33617,5,1365,28.057896,-82.392932,20
GROW FINANCIAL FEDERAL CU,5250 E BUSCH BLVD,TEMPLE TERRACE,FL,33617,5,1365,28.03302,-82.39736,20
GTE FEDERAL CREDIT UNION,9380 N 56TH ST,TEMPLE TERRACE,FL,33617,6,1638,28.035536,-82.39442,20
RAILROAD INDL CREDIT,12125 N 56TH ST,TEMPLE TERRACE,FL,33617,6,1638,28.057896,-82.392932,20
GROW FINANCIAL FEDERAL CU,13305 N DALE MABRY HWY,TAMPA,FL,33618,17,4641,28.069135,-82.50521,20
SEMINOLE ELECTRIC CO-OP,16313 N DALE MABRY HWY,TAMPA,FL,33618,200,481000,28.101225,-82.500065,40
PRINCIPAL MUTUAL LIFE INS,4014 GUNN HWY # 180,TAMPA,FL,33618,3,558,28.038576,-82.508341,22
SUNCOAST CREDIT UNION,8542 GUNN HWY # 15,TAMPA,FL,33619,6,1638,27.944539,-82.372265,20
RAILROAD INDUSTRIAL FED CREDIT,3710 N 50TH ST,TAMPA,FL,33619,100,27300,27.97804,-82.40278,20
RAILROAD INDL FEDERAL CU,3710 N 50TH ST,TAMPA,FL,33619,50,69000,27.97804,-82.40278,20
GROW FINANCIAL FEDERAL CREDIT,9927 DELANEY LAKE DR,TAMPA,FL,33619,6,1638,27.93079,-82.34161,20
SERVICE 1ST CREDIT UNION,8916 SABAL INDUSTRIAL BLVD,TAMPA,FL,33619,18,4914,27.97376,-82.35358,20
USF FEDERAL CREDIT UNION,4020 E FOWLER AVE # 1400,TAMPA,FL,33620,6,1638,28.054571,-82.411861,20
GROW FINANCIAL FEDERAL CREDIT,2418 FLORIDA KEYS AVE # 102,TAMPA,FL,33621,8,2184,27.852471,-82.48811,20
GROW FINANCIAL FEDERAL CU,2418 FLORIDA KEYS AVE # 102,TAMPA,FL,33621,5,1365,27.852471,-82.48811,20
FLORIDA CENTRAL CREDIT UNION,8620 CITRUS PARK DR,TAMPA,FL,33625,5,1365,28.06469,-82.58117,20
ACHIEVA CREDIT UNION,12105 W LINEBAUGH AVE,TAMPA,FL,33626,6,1638,28.056793,-82.623977,20
LENDING SOURCE,2425 S DALE MABRY HWY,TAMPA,FL,33629,6,1638,27.9231,-82.50625,20
TAMPA POSTAL FED CU,3501 BESSIE COLEMAN BLVD,TAMPA,FL,33630,2,546,27.966684,-82.538584,20
OMNI CREDIT SVC,4710 EISENHOWER BLVD # A2,TAMPA,FL,33634,12,3276,27.98765,-82.54822,20
OMNI CREDIT SVC OF TAMPA,4710 EISENHOWER BLVD # A2,TAMPA,FL,33634,6,1638,27.98765,-82.54822,20
GTE FEDERAL CREDIT UNION,1 E TELECOM PKWY,TAMPA,FL,33637,3,819,28.060193,-82.371573,20
GTE FEDERAL CREDIT UNION,20761 CENTER OAK DR,TAMPA,FL,33647,5,1365,28.17085,-82.35142,20
USAA CREDIT UNION,17200 COMMERCE PARK BLVD,TAMPA,FL,33647,3,558,28.123638,-82.379483,20
GROW FINANCIAL FEDERAL CU,17315 DONA MICHELLE DR,TAMPA,FL,33647,9,2457,28.1242,-82.37028,20
USF FEDERAL CREDIT UNION,6417 E COUNTY LINE RD # 100,TAMPA,FL,33647,6,1638,28.171132,-82.355043,20
FLORIDA CENTRAL CREDIT UNION,16069 TAMPA PALMS BLVD W,TAMPA,FL,33647,6,1638,28.098842,-82.399849,20
VENUE THEATRE COLLECTIVE,821 1ST AVE N,ST PETERSBURG,FL,33701,20,,27.77232,-82.64574,12
TIME STAFFERS FEDERAL CU,123 4TH ST S,ST PETERSBURG,FL,33701,3,819,27.770112,-82.638572,20
USF FEDERAL CREDIT UNION,510 3RD ST S # 130,ST PETERSBURG,FL,33701,6,1638,27.765461,-82.636915,20
G T E FEDERAL CU A T M,,ST PETERSBURG,FL,33701,6,1638,27.771935,-82.638499,20
PENN MUTUAL LIFE INSURANCE CO,6600 4TH ST N,ST PETERSBURG,FL,33702,4,744,27.83279,-82.63902,22
CHARTWAY FEDERAL CREDIT UNION,6540 4TH ST N # A,ST PETERSBURG,FL,33702,6,1638,27.83238,-82.63926,20
GROW FINANCIAL FEDERAL CU,2600 MLK ST N # 100,ST PETERSBURG,FL,33704,20,5460,27.79629,-82.64733,20
WEST COAST FEDERAL CU,1200 7TH AVE N,ST PETERSBURG,FL,33705,6,1638,27.778606,-82.650659,20
FLORIDACENTRAL CREDIT UNION,400 16TH ST N,ST PETERSBURG,FL,33705,11,3003,27.77592,-82.6553,20
BAY GULF CREDIT UNION,9500 BAY PINES BLVD # 204,ST PETERSBURG,FL,33708,2,546,27.810448,-82.793694,20
PINELLAS COUNTY TEACHERS CRDT,14727 66TH ST N,ST PETERSBURG,FL,33709,5,1365,27.816832,-82.728448,20
COLONY COOPERATIVE,7901 40TH AVE N,ST PETERSBURG,FL,33709,1,147,27.809404,-82.748751,12
UNITED METHODIST CO-OP MNSTRS,6801 38TH AVE N,ST PETERSBURG,FL,33710,3,,27.80679,-82.73338,33
SUNCOAST CREDIT UNION,2120 34TH ST S,ST PETERSBURG,FL,33711,6,1638,27.749154,-82.679146,20
UNITED METHODIST CO-OP,2800 26TH AVE S,ST PETERSBURG,FL,33712,5,249,27.74376,-82.67165,31
ACHIEVA CREDIT UNION,3629 11TH AVE N,ST PETERSBURG,FL,33713,20,5460,27.78301,-82.68321,20
SUNCOAST CREDIT UNION,12003 28TH ST N,ST PETERSBURG,FL,33716,10,2730,27.88118,-82.67062,20
SUNCOAST SCHOOLS FEDERAL CU,12003 28TH ST N,ST PETERSBURG,FL,33716,10,2730,27.88118,-82.67062,20
P S C U,560 CARILLON PKWY,ST PETERSBURG,FL,33716,1500,409500,27.88485,-82.66396,20
BAY PINES FEDERAL CREDIT UNION,10000 BAY PINES BLVD,BAY PINES,FL,33744,17,4641,27.811393,-82.779737,20
PINELLAS PUBLIC LIBRARY CO-OP,1330 CLEVELAND ST,CLEARWATER,FL,33755,14,,27.96633,-82.78174,33
PINELLAS FEDERAL CREDIT UNION,1601 GULF TO BAY BLVD,CLEARWATER,FL,33755,6,1638,27.96037,-82.7708,20
ARTISTS WAY CO-OP,1284 S MISSOURI AVE,CLEARWATER,FL,33756,2,462,27.95091,-82.78786,12
DANCERS COOPERATIVE,1247 S MISSOURI AVE,CLEARWATER,FL,33756,12,794,27.952548,-82.787388,12
CITY-COUNTY EMPLOYEES CU,719 S MISSOURI AVE,CLEARWATER,FL,33756,8,2184,27.957489,-82.787227,20
WEST COAST FEDERAL CREDIT UNN,300 JEFFORDS ST # A,CLEARWATER,FL,33756,5,1365,27.95396,-82.80473,20
NAVY FEDERAL CREDIT UNION,2699 ROOSEVELT BLVD,CLEARWATER,FL,33760,11,3003,27.916071,-82.7261,20
CARD SERVICES FOR CREDIT UNNS,15950 BAY VISTA DR # 170,CLEARWATER,FL,33760,3,,27.91801,-82.71024,20
PINELLAS FEDERAL CREDIT UNION,15201 ROOSEVELT BLVD # 113,CLEARWATER,FL,33760,6,1638,27.91034,-82.70385,20
MAC DILL FEDERAL CREDIT UNION,2474 STATE ROAD 580,CLEARWATER,FL,33761,11,3003,28.019525,-82.734746,20
GROW FINANCIAL CREDIT UNION,2474 STATE RD W,CLEARWATER,FL,33761,5,1365,28.032794,-82.726397,20
WEST COAST FEDERAL CU,3231 N MCMULLEN BOOTH RD,CLEARWATER,FL,33761,5,1365,28.03852,-82.70777,20
GTE FEDERAL CREDIT UNION,29492 US HIGHWAY 19 N,CLEARWATER,FL,33761,5,1365,28.040299,-82.738967,20
SUNCOAST CREDIT UNION,26232 US HIGHWAY 19 N,CLEARWATER,FL,33761,5,1365,28.009791,-82.732028,20
G T E FEDERAL CU A T M,,CLEARWATER,FL,33762,6,1638,27.891326,-82.68446,20
NORTHWESTERN MUTUAL FINANCIAL,111 N BELCHER RD # 102,CLEARWATER,FL,33765,25,4650,27.96577,-82.74572,23
FLORIDA CENTRAL CREDIT UNION,2201 NE COACHMAN RD,CLEARWATER,FL,33765,6,1638,27.97209,-82.74566,20
ACHIEVA CREDIT UNION,2201 DREW ST,CLEARWATER,FL,33765,12,3276,27.96749,-82.74572,20
UNITED METHODIST CO-OP MNSTRS,403 1ST AVE SW,BELLEAIR BLUFFS,FL,33770,23,,27.91553,-82.79242,33
FLORIDA CENTRAL CREDIT UNION,1499 BELCHER RD S,LARGO,FL,33771,5,1365,27.902093,-82.745276,20
PINELLAS FEDERAL CREDIT UNION,10273 ULMERTON RD,LARGO,FL,33771,20,5460,27.89587,-82.78164,20
ACHIEVA CREDIT UNION,10125 ULMERTON RD,LARGO,FL,33771,40,10920,27.89564,-82.77957,20
PINELLAS FEDERAL CREDIT,10273 ULMERTON RD,LARGO,FL,33771,6,1638,27.89587,-82.78164,20
FLORIDA CENTRAL CREDIT UNION,8202 113TH ST,SEMINOLE,FL,33772,2,,27.847657,-82.795631,20
ECU CREDIT UNION,8250 BRYAN DAIRY RD # 150,LARGO,FL,33777,12,3276,27.87177,-82.75301,20
GROW FINANCIAL FEDERAL CU,10801 STARKEY RD # 103,LARGO,FL,33777,5,1365,27.87073,-82.76065,20
GROW FINANCIAL FEDERAL CU,6900 PARK BLVD N,PINELLAS PARK,FL,33781,5,1365,27.83851,-82.73415,20
ACHIEVA CREDIT UNION,7105 PARK BLVD N,PINELLAS PARK,FL,33781,10,2730,27.83982,-82.73787,20
MID FL FEDERAL CREDIT UNION,1551 E GARY RD,LAKELAND,FL,33801,6,1638,28.0489,-81.93282,20
MIDFLORIDA CREDIT UNION,,LAKELAND,FL,33801,5,1325,28.0412,-81.9168,20
MID FL FEDERAL CREDIT UNION,129 S KENTUCKY AVE # 100,LAKELAND,FL,33801,100,27300,28.04303,-81.95532,20
MIDFLORIDA CREDIT UNION,PO BOX 3584,LAKELAND,FL,33802,6,1638,28.030491,-81.944837,20
MID FL FEDERAL CREDIT UNION,3008 S FLORIDA AVE,LAKELAND,FL,33803,5,1365,28.009148,-81.956498,20
MIDFLORIDA CREDIT UNION,3008 S FLORIDA AVE,LAKELAND,FL,33803,6,1638,28.009148,-81.956498,20
GROW FINANCIAL FEDERAL CU,2645 S FLORIDA AVE,LAKELAND,FL,33803,6,1638,28.012856,-81.957392,20
MAGNIFY CREDIT UNION,3225 WINTER LAKE RD,LAKELAND,FL,33803,5,1365,27.995837,-81.89324,20
LAKELAND POSTAL CREDIT UNION,2800 LAKELAND HILLS BLVD,LAKELAND,FL,33805,2,546,28.07785,-81.95383,20
RAILROAD INDL FEDERAL CU,3305 LAKELAND HILLS BLVD,LAKELAND,FL,33805,6,1638,28.084607,-81.95277,20
RAILROAD INDL FCU,3305 LAKELAND HILLS BLVD,LAKELAND,FL,33805,3,819,28.084607,-81.95277,20
MIDFLORIDA FEDERAL CREDIT UNON,3808 N FLORIDA AVE,LAKELAND,FL,33805,6,1638,28.09112,-81.95701,20
LAKELAND REGIONAL MEDICAL CU,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,13,3549,28.06087,-81.95348,20
MID FLORIDA FCU,8331 STATE ROAD 33 N,LAKELAND,FL,33809,5,1365,28.150243,-81.879203,20
MID FL FEDERAL CREDIT UNION,1090 WEDGEWOOD ESTATES BLVD,LAKELAND,FL,33809,5,1365,28.096623,-81.972931,20
MID FLORIDA FEDERAL CU,7301 US HIGHWAY 98 N,LAKELAND,FL,33809,5,1365,28.135096,-81.973417,20
MID FLORIDA F C U,7301 US HIGHWAY 98 N,LAKELAND,FL,33809,5,1365,28.135096,-81.973417,20
NORTHWESTERN MUTUAL FINANCIAL,4729 US HIGHWAY 98 S # 201,LAKELAND,FL,33812,15,2790,27.978823,-81.88809,23
MID FL FEDERAL CREDIT UNION,5301 US HIGHWAY 98 S,LAKELAND,FL,33812,5,1365,27.9673,-81.8981,20
FLORIDA CENTRAL CREDIT UNION,4630 S FLORIDA AVE,LAKELAND,FL,33813,5,1365,27.98069,-81.95631,20
NORTHWESTERN MUTUAL FINANCIAL,6700 S FLORIDA AVE # 36,LAKELAND,FL,33813,2,372,27.94316,-81.97161,23
MID FL FEDERAL CREDIT UNION,6040 S FLORIDA AVE,LAKELAND,FL,33813,5,1365,27.95635,-81.96708,20
METHODIST CREDIT UNION,450 MARTIN L KING JR AVE,LAKELAND,FL,33815,3,819,28.04818,-81.96245,20
MID FLORIDA FEDERAL CU,2105 NEW TAMPA HWY,LAKELAND,FL,33815,6,1638,28.04166,-81.99059,20
PUBLIX FEDERAL CREDIT UNION,3005 NEW TAMPA HWY,LAKELAND,FL,33815,250,68250,28.03968,-82.00519,20
TAMPA SCL EMPLOYEE FED CU,1102 GEORGE JENKINS BLVD,LAKELAND,FL,33815,6,1638,28.04243,-81.97257,20
FARM CREDIT OF CENTRAL FL,115 S MISSOURI AVE # 400,LAKELAND,FL,33815,30,21450,28.043487,-81.958538,21
MIDFLORIDA FEDERAL CU,2146 US HIGHWAY 92 W,AUBURNDALE,FL,33823,6,1638,28.057513,-81.814845,20
